x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,Q_W_per_m,dP_Pa
7.990053e+00,4.417466e+00,7.291915e+00,5.677729e+00,6.113288e+00,4.224963e+00,5.821169e+00,6.996812e+00,3.442148e-01,4.235397e-01,4.620190e-01,3.424581e-01,3.076872e-01,4.763648e-01,4.301259e-01,4.333170e-01,1.301960e+04,9.728819e+03
5.697104e+00,7.494023e+00,4.576065e+00,7.002329e+00,5.988057e+00,6.696992e+00,7.869835e+00,5.426376e+00,4.286425e-01,3.623346e-01,3.692754e-01,4.851059e-01,4.569650e-01,3.784740e-01,3.890968e-01,3.144242e-01,1.349357e+04,9.606727e+03
4.024543e+00,5.568301e+00,6.190658e+00,4.083078e+00,4.315050e+00,7.079171e+00,4.090442e+00,4.948767e+00,4.723796e-01,3.460276e-01,3.242078e-01,4.062296e-01,3.985066e-01,4.220252e-01,3.382088e-01,4.692539e-01,1.306253e+04,1.035617e+04
6.286272e+00,6.522879e+00,5.910355e+00,6.721247e+00,7.692722e+00,5.623989e+00,6.108191e+00,7.378594e+00,3.504535e-01,4.836025e-01,4.071841e-01,3.728962e-01,4.493473e-01,3.203013e-01,4.784571e-01,3.753625e-01,1.319040e+04,8.389749e+03
6.917278e+00,5.181039e+00,4.272050e+00,6.397233e+00,7.278616e+00,4.677906e+00,4.582082e+00,4.008684e+00,4.914944e-01,3.863199e-01,3.281287e-01,3.806969e-01,3.514966e-01,3.719245e-01,4.523922e-01,3.650298e-01,1.320701e+04,9.289040e+03
4.647766e+00,6.230466e+00,7.610945e+00,4.782565e+00,4.650913e+00,6.150184e+00,6.599946e+00,7.563247e+00,3.821690e-01,4.496761e-01,4.404764e-01,4.484286e-01,4.006556e-01,4.702067e-01,3.183943e-01,4.843236e-01,1.306581e+04,9.314119e+03
5.070052e+00,4.835872e+00,5.249284e+00,7.865388e+00,5.042787e+00,7.501357e+00,5.312932e+00,6.062323e+00,3.133847e-01,4.583694e-01,4.918915e-01,4.679051e-01,3.423164e-01,3.262641e-01,3.667238e-01,3.259666e-01,1.256158e+04,7.045146e+03
7.370845e+00,7.755324e+00,6.898726e+00,5.439166e+00,6.918048e+00,5.045439e+00,7.361466e+00,5.617150e+00,4.102056e-01,3.213830e-01,3.768111e-01,3.096586e-01,4.930375e-01,4.283794e-01,4.015033e-01,4.202619e-01,1.406500e+04,1.013719e+04
7.199922e+00,5.872657e+00,5.437832e+00,4.582939e+00,5.558601e+00,5.911240e+00,4.936127e+00,4.324012e+00,4.805747e-01,4.945319e-01,3.953374e-01,3.309714e-01,4.211249e-01,3.397906e-01,3.264507e-01,3.542266e-01,1.297963e+04,8.992242e+03
5.485097e+00,6.795917e+00,6.663425e+00,6.222118e+00,6.433370e+00,7.385715e+00,6.887502e+00,7.753838e+00,3.961531e-01,3.319596e-01,4.857616e-01,4.977154e-01,3.704790e-01,4.430785e-01,4.916986e-01,4.982275e-01,1.348760e+04,8.851526e+03
4.781530e+00,4.143636e+00,4.040554e+00,5.175789e+00,7.760362e+00,6.767893e+00,5.166887e+00,6.372057e+00,3.024406e-01,3.732761e-01,4.340518e-01,4.172038e-01,4.849926e-01,3.620135e-01,4.435447e-01,3.432883e-01,1.280221e+04,9.435500e+03
6.527635e+00,7.188997e+00,7.826694e+00,7.503536e+00,4.138035e+00,4.310266e+00,7.149113e+00,5.801620e+00,4.243606e-01,4.094839e-01,3.471448e-01,3.599198e-01,3.359096e-01,4.583435e-01,3.775151e-01,4.122906e-01,1.349893e+04,1.034007e+04
6.142708e+00,4.608916e+00,6.496248e+00,7.367020e+00,4.833304e+00,5.489676e+00,5.658652e+00,6.687079e+00,3.333192e-01,3.073124e-01,4.136087e-01,3.927456e-01,4.650106e-01,4.119189e-01,3.534030e-01,4.476115e-01,1.344014e+04,9.154959e+03
4.420072e+00,7.559672e+00,5.651517e+00,5.937778e+00,7.205601e+00,7.963415e+00,7.640750e+00,5.241906e+00,4.426506e-01,4.693014e-01,3.051917e-01,4.343782e-01,3.140933e-01,3.082428e-01,4.131821e-01,3.032305e-01,1.317667e+04,7.195209e+03
5.873852e+00,5.376019e+00,7.021456e+00,6.897675e+00,6.597474e+00,6.314587e+00,4.427772e+00,4.633439e+00,4.614107e-01,4.356177e-01,3.507491e-01,4.555397e-01,4.288787e-01,4.896960e-01,4.642487e-01,4.616733e-01,1.274411e+04,8.869169e+03
7.565269e+00,6.456627e+00,4.862271e+00,4.281879e+00,5.472735e+00,4.857207e+00,6.379260e+00,7.188003e+00,3.645837e-01,3.972642e-01,4.681488e-01,3.231474e-01,3.795235e-01,3.929778e-01,3.052504e-01,3.922936e-01,1.371366e+04,1.122457e+04
7.645999e+00,5.277900e+00,6.600034e+00,7.958122e+00,7.512638e+00,7.842050e+00,7.895862e+00,4.544434e+00,3.893739e-01,4.434594e-01,4.727579e-01,3.838590e-01,4.966195e-01,3.671775e-01,4.973467e-01,4.304928e-01,1.293737e+04,6.048776e+03
5.915549e+00,6.326221e+00,5.251346e+00,5.346195e+00,4.385947e+00,5.360987e+00,5.913123e+00,7.099272e+00,4.862054e-01,3.799087e-01,3.585426e-01,4.389686e-01,3.457550e-01,4.626521e-01,3.313416e-01,3.248664e-01,1.337720e+04,1.009698e+04
4.368597e+00,4.736440e+00,7.890379e+00,6.302681e+00,5.807055e+00,4.977588e+00,6.126101e+00,6.526084e+00,4.174653e-01,3.151730e-01,3.099593e-01,4.710664e-01,4.097048e-01,3.316000e-01,3.835861e-01,4.664297e-01,1.324323e+04,8.911751e+03
6.067828e+00,7.656740e+00,4.227236e+00,4.877369e+00,6.185212e+00,6.444245e+00,4.175254e+00,5.080637e+00,3.081383e-01,4.519633e-01,4.214387e-01,3.001979e-01,3.604024e-01,4.357417e-01,4.488096e-01,3.858047e-01,1.360018e+04,1.003976e+04
6.698344e+00,4.014220e+00,5.587955e+00,4.240386e+00,6.849355e+00,7.263870e+00,6.634466e+00,6.462739e+00,4.499107e-01,3.562405e-01,3.423895e-01,3.455216e-01,4.402858e-01,4.815054e-01,4.196132e-01,3.739205e-01,1.302807e+04,8.584832e+03
4.991333e+00,7.089915e+00,6.309689e+00,6.564191e+00,5.221168e+00,5.783047e+00,4.683487e+00,5.892576e+00,3.279891e-01,4.172495e-01,4.262095e-01,4.757426e-01,3.895886e-01,3.856410e-01,3.606393e-01,4.799243e-01,1.344151e+04,9.652941e+03
5.288986e+00,5.968762e+00,4.925541e+00,5.522262e+00,4.581180e+00,4.431143e+00,7.404103e+00,4.483330e+00,3.717765e-01,4.775140e-01,4.811404e-01,4.092938e-01,4.533708e-01,4.170829e-01,3.121008e-01,3.348573e-01,1.290517e+04,1.091071e+04
7.027278e+00,6.924431e+00,7.207822e+00,7.157559e+00,7.457903e+00,6.897070e+00,5.421480e+00,7.912881e+00,4.561964e-01,3.397445e-01,3.875561e-01,3.635336e-01,3.042364e-01,3.125514e-01,4.718556e-01,4.158626e-01,1.358393e+04,7.401967e+03
7.418855e+00,4.947709e+00,4.637526e+00,6.800833e+00,4.067326e+00,6.028332e+00,6.846818e+00,6.151329e+00,4.358304e-01,4.628953e-01,3.814796e-01,3.958342e-01,3.823746e-01,4.052157e-01,3.967236e-01,3.568673e-01,1.277589e+04,8.029382e+03
5.141531e+00,7.899327e+00,7.480333e+00,4.378485e+00,7.940634e+00,4.549706e+00,4.829533e+00,5.705880e+00,3.390051e-01,3.011023e-01,4.996255e-01,4.250889e-01,4.314826e-01,3.026382e-01,4.369475e-01,4.875782e-01,1.410353e+04,1.129577e+04
4.562597e+00,5.036105e+00,5.848647e+00,7.457892e+00,6.361743e+00,5.166307e+00,7.116547e+00,4.169678e+00,3.577206e-01,3.908529e-01,4.451814e-01,4.586276e-01,3.239772e-01,4.962009e-01,4.856737e-01,3.459290e-01,1.294098e+04,9.372013e+03
6.871202e+00,6.115622e+00,6.002000e+00,5.847158e+00,5.739899e+00,7.630526e+00,5.067434e+00,7.724516e+00,4.670415e-01,4.294010e-01,3.360213e-01,3.138573e-01,4.746473e-01,3.991652e-01,3.446690e-01,4.016413e-01,1.320209e+04,7.424898e+03
6.486764e+00,5.711344e+00,7.672532e+00,5.022673e+00,5.294668e+00,6.575635e+00,7.624794e+00,4.858085e+00,3.752696e-01,3.256765e-01,4.024669e-01,3.341571e-01,3.260135e-01,3.461002e-01,3.236761e-01,4.385373e-01,1.380538e+04,8.816104e+03
